Űrlap	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A
Megnevezés	1 Törvény szerinti illetmények munkabérek K1101 	2 Normatív jutalmak K1102 	3 Céljuttatás projektprémium K1103 	4 Készenléti ügyeleti helyettesítési díj túlóra túlszolgálat K1104 	5 Végkielégítés K1105 	6 Jubileumi jutalom K1106 	7 Béren kívüli juttatások K1107 	8 Ruházati költségtérítés K1108 	9 Közlekedési költségtérítés K1109 	10 Egyéb költségtérítések K1110 	11 Lakhatási támogatások K1111 	12 Szociális támogatások K1112 	13 Foglalkoztatottak egyéb személyi juttatásai 14 K1113 	15 Foglalkoztatottak személyi juttatásai 01 13 K11 	16 Választott tisztségviselők juttatásai K121 	17 Munkavégzésre irányuló egyéb jogviszonyban nem saját foglalkoztatottnak fizetett juttatások K122 	18 Egyéb külső személyi juttatások K123 	19 Külső személyi juttatások 16 17 18 K12 	20 Személyi juttatások összesen 15 19 K1 	21 Munkaadókat terhelő járulékok és szociális hozzájárulási adó 22 28 K2 	22 ebből szociális hozzájárulási adó K2 	23 ebből rehabilitációs hozzájárulás K2 	24 ebből korkedvezmény biztosítási járulék K2 	25 ebből egészségügyi hozzájárulás K2 	26 ebből táppénz hozzájárulás K2 	28 ebből munkáltatót terhelő személyi jövedelemadó K2 	29 Szakmai anyagok beszerzése K311 	30 Üzemeltetési anyagok beszerzése K312 	32 Készletbeszerzés 29 30 31 K31 	33 Informatikai szolgáltatások igénybevétele K321 	34 Egyéb kommunikációs szolgáltatások K322 	35 Kommunikációs szolgáltatások 33 34 K32 	36 Közüzemi díjak K331 	37 Vásárolt élelmezés K332 	38 Bérleti és lízing díjak 39 K333 	40 Karbantartási kisjavítási szolgáltatások K334 	41 Közvetített szolgáltatások 42 K335 	42 ebből államháztartáson belül K335 	43 Szakmai tevékenységet segítő szolgáltatások K336 	44 Egyéb szolgáltatások K337 	45 Szolgáltatási kiadások 36 37 38 40 41 43 44 K33 	46 Kiküldetések kiadásai K341 	47 Reklám és propagandakiadások K342 	48 Kiküldetések reklám és propagandakiadások 46 47 K34 	49 Működési célú előzetesen felszámított általános forgalmi adó K351 	50 Fizetendő általános forgalmi adó K352 	51 Kamatkiadások 52 53 K353 	54 Egyéb pénzügyi műveletek kiadásai 55 57 K354 	55 ebből valuta deviza eszközök realizált árfolyamvesztesége K354 	58 Egyéb dologi kiadások K355 	59 Különféle befizetések és egyéb dologi kiadások 49 50 51 54 58 K35 	60 Dologi kiadások 32 35 45 48 59 K3 	62 Családi támogatások 63 73 K42 	72 ebből óvodáztatási támogatás Gyvt 20 C K42 	73 ebből az egyéb pénzbeli és természetbeni gyermekvédelmi támogatások K42 	74 Pénzbeli kárpótlások kártérítések K43 	75 Betegséggel kapcsolatos nem társadalombiztosítási ellátások 76 82 K44 	82 ebből helyi megállapítású közgyógyellátás Szoctv 50 3 bek K44 	83 Foglalkoztatással munkanélküliséggel kapcsolatos ellátások 84 92 K45 	91 ebből foglalkoztatást helyettesítő támogatás Szoctv 35 1 bek K45 	93 Lakhatással kapcsolatos ellátások 94 99 K46 	96 ebből lakásfenntartási támogatás Szoctv 38 1 bek a és b pontok K46 	97 ebből adósságcsökkentési támogatás Szoctv 55 A 1 bek b pont K46 	100 Intézményi ellátottak pénzbeli juttatásai 101 102 K47 	102 ebből oktatásban résztvevők pénzbeli juttatásai K47 	103 Egyéb nem intézményi ellátások 104 126 K48 	118 ebből rendszeres szociális segély Szoctv 37 1 bek a d pontok K48 	120 ebből egyéb az önkormányzat rendeletében megállapított juttatás K48 	122 ebből átmeneti segély Szoctv 47 1 bek c pont K48 	123 ebből köztemetés Szoctv 48 K48 	127 Ellátottak pénzbeli juttatásai 61 62 74 75 83 93 100 103 K4 	130 Elvonások és befizetések K502 	154 Egyéb működési célú támogatások államháztartáson belülre 155 164 K506 	155 ebből központi költségvetési szervek K506 	163 ebből nemzetiségi önkormányzatok és költségvetési szerveik K506 	167 Működési célú visszatérítendő támogatások kölcsönök nyújtása államháztartáson kívülre 168 178 K508 	170 ebből egyéb civil szervezetek K508 	181 Egyéb működési célú támogatások államháztartáson kívülre 182 192 K511 	182 ebből egyházi jogi személyek K511 	184 ebből egyéb civil szervezetek K511 	185 ebből háztartások K511 	188 ebből önkormányzati többségi tulajdonú nem pénzügyi vállalkozások K511 	194 Egyéb működési célú kiadások 128 130 131 132 143 154 165 167 179 180 181 193 K5 	195 Immateriális javak beszerzése létesítése K61 	196 Ingatlanok beszerzése létesítése 197 K62 	198 Informatikai eszközök beszerzése létesítése K63 	199 Egyéb tárgyi eszközök beszerzése létesítése K64 	202 Beruházási célú előzetesen felszámított általános forgalmi adó K67 	203 Beruházások 195 196 198 202 K6 	204 Ingatlanok felújítása K71 	206 Egyéb tárgyi eszközök felújítása K73 	207 Felújítási célú előzetesen felszámított általános forgalmi adó K74 	208 Felújítások 204 207 K7 	221 Felhalmozási célú visszatérítendő támogatások kölcsönök törlesztése államháztartáson belülre 222 231 K83 	222 ebből központi költségvetési szervek K83 	232 Egyéb felhalmozási célú támogatások államháztartáson belülre 233 242 K84 	233 ebből központi költségvetési szervek K84 	239 ebből helyi önkormányzatok és költségvetési szerveik K84 	245 Felhalmozási célú visszatérítendő támogatások kölcsönök nyújtása államháztartáson kívülre 246 256 K86 	249 ebből háztartások K86 	258 Egyéb felhalmozási célú támogatások államháztartáson kívülre 259 269 K88 	259 ebből egyházi jogi személyek K88 	261 ebből egyéb civil szervezetek K88 	262 ebből háztartások K88 	265 ebből önkormányzati többségi tulajdonú nem pénzügyi vállalkozások K88 	270 Egyéb felhalmozási célú kiadások 209 210 221 232 243 245 257 258 K8 	271 Költségvetési kiadások 20 21 60 127 194 203 208 270 K1 K8 	272 Hosszú lejáratú hitelek kölcsönök törlesztése 273 274 K9111 	273 ebből pénzügyi vállalkozás K9111 	279 Hitel kölcsöntörlesztés államháztartáson kívülre 272 275 276 K911 	293 Központi irányító szervi támogatások folyósítása K915 	297 Belföldi finanszírozás kiadásai 279 290 296 K91 	309 Finanszírozási kiadások 297 307 308 K9 	310 Kiadások összesen 271 309 K1 K9 	311 Kapacitásmutató 1 68 2013 XII 29 NGM r 6 2 bek 	312 Kapacitásmutató 2 68 2013 XII 29 NGM r 6 2 bek 	313 Feladatmutató 68 2013 XII 29 NGM r 6 1 bek 
011130 Önkormányzatok és önkormányzati hivatalok jogalkotó és általános igazgatási tevékenysége	668793	111524	40148	1272	6795	4021	36969	0	4312	1123	1259	806	16353	893375	51460	18751	44752	114963	1008338	268766	230833	10127	0	16827	1128	9851	9419	30622	40041	81906	9969	91875	29810	0	6112	39119	0	0	73459	273976	422476	100	29038	29138	119766	14348	0	1637	1637	38651	174402	757932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2882	2100	782	0	0	4552	0	4552	0	0	7434	4335	11305	4387	6711	7192	33930	6901	0	1863	8764	0	0	15000	0	15000	0	0	10000	10000	0	0	0	25000	2110164	0	0	0	0	0	0	2110164	96	93	0
011140 Országos és helyi nemzetiségi önkormányzatok igazgatási tevékenysége	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11000	0	11000	0	0	0	0	0	0	0	11000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11000	0	0	0	0	0	0	11000	0	0	0
013350 Az önkormányzati vagyonnal való gazdálkodással kapcsolatos feladatok	0	0	0	514	0	0	0	0	0	0	0	0	837	1351	0	214	0	214	1565	394	394	0	0	0	0	0	563	2434	2997	3494	40	3534	37435	0	4204	4	524	0	1948	704501	748616	0	0	0	200687	15315	0	0	0	354472	570474	1325621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	382107	0	0	14814	367293	382107	0	138040	0	0	37270	175310	60566	0	16353	76919	0	0	1235	1235	0	0	0	0	0	0	0	0	1235	1963151	0	0	0	0	0	0	1963151	0	0	0
013360 Más szerv részére végzett pénzügyi-gazdálkodási, üzemeltetési, egyéb szolgáltatások	113874	16287	1697	1294	0	503	5329	3900	924	0	0	550	3358	147716	0	229	215	444	148160	58302	38154	18156	0	865	215	912	140	4553	4693	306	761	1067	0	0	112	808	1694	1513	0	17373	19987	161	0	161	2666	8102	0	0	0	1857	12625	38533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13380	0	0	0	0	0	0	0	0	0	0	13380	45	0	1195	3731	500	5471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263846	0	0	0	0	0	0	263846	44	1	0
016010 Országgyűlési, önkormányzati és európai parlamenti képviselőválasztásokhoz kapcsolódó tevékenységek	0	0	19205	0	0	0	0	0	0	0	0	0	0	19205	0	22489	4015	26504	45709	13583	11428	0	0	1353	0	802	62	3268	3330	0	0	0	0	0	9	0	0	0	0	7607	7616	0	0	0	3340	0	0	0	0	0	3340	14286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246	66	312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73890	0	0	0	0	0	0	73890	0	0	0
016030 Állampolgársági ügyek	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	937	937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	253	1190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1190	0	0	0	0	0	0	1190	0	0	0
016080 Kiemelt állami és önkormányzati rendezvények	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	979	10097	11076	11076	247	247	0	0	0	0	0	180	14	194	0	0	0	0	0	2540	0	0	0	300	9067	11907	0	36	36	5478	0	0	0	0	964	6442	18579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29902	0	0	0	0	0	0	29902	0	0	0
018010 Önkormányzatok elszámolásai a központi költségvetéssel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59880	59880	0	0	0	0	0	0	0	0	0	0	59880	59880	0	0	0	0	0	0	59880	0	0	0
018020 Központi költségvetési befizetések	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2680	2680	2680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33877	0	0	0	0	0	0	0	0	0	0	33877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36557	0	0	0	0	0	0	36557	0	0	0
018030 Támogatási célú finanszírozási műveletek	1126	0	0	0	0	0	0	0	0	0	0	0	0	1126	0	0	0	0	1126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115866	0	0	0	0	0	0	0	0	0	0	115866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116999	0	0	0	8742298	8742298	8742298	8859297	0	0	0
022010 Polgári honvédelem ágazati feladatai, a lakosság felkészítése	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	970	0	970	970	227	227	0	0	0	0	0	420	0	420	0	0	0	0	0	0	0	0	0	0	151	151	0	0	0	154	0	0	0	0	0	154	725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1922	0	0	0	0	0	0	1922	0	0	0
031030 Közterület rendjének fenntartása	85738	8239	0	6769	0	0	6026	0	770	916	0	0	2393	110851	0	4355	45	4400	115251	32558	29187	1374	0	936	19	1042	625	18923	19548	2221	647	2868	894	0	16026	1617	0	0	10045	52800	81382	0	286	286	27197	0	0	0	0	6067	33264	137348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8999	27884	9472	46355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	331512	0	0	0	0	0	0	331512	34	1	0
031060 Bűnmegelőzés	0	0	1801	0	0	0	0	0	0	0	0	0	0	1801	0	9200	0	9200	11001	2722	2722	0	0	0	0	0	0	0	0	0	129	129	0	0	967	0	0	0	11636	1196	13799	0	6700	6700	4199	0	0	0	0	2422	6621	27249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25000	25000	0	0	0	129700	0	3750	0	125950	154700	0	0	0	480	130	610	0	0	0	0	0	0	0	0	0	0	0	68124	0	1750	0	66374	68124	264406	0	0	0	0	0	0	264406	0	0	0
032010 Tűz- és katasztrófavédelem igazgatása	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3750	0	3750	0	0	3750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1750	0	1750	0	0	1750	5500	0	0	0	0	0	0	5500	0	0	0
036020 Jogi segítségnyújtás, áldozatsegítés, kárenyhítés, kárpótlás	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17547	17547	17547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17547	0	0	0	0	0	0	17547	0	0	0
041231 Rövid időtartamú közfoglalkoztatás	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25000	0	0	0	25000	25000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25000	0	0	0	0	0	0	25000	0	0	0
